top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3063 andrew    20   0  371148   1844    912 S   0.0  0.0   0:01.08 /usr/lib/gnome-settings-daemon/gsd-smartcard
 3067 andrew    20   0  492516  17064   5056 S   0.0  0.1   0:24.43 /usr/lib/gnome-settings-daemon/gsd-xsettings
 3079 andrew    20   0  427232  19500   4504 S   0.0  0.1   0:21.85 /usr/lib/gnome-settings-daemon/gsd-wacom
 3081 andrew    20   0  325944   1016     88 S   0.0  0.0   0:01.07 /usr/lib/gnome-settings-daemon/gsd-sound
 3092 andrew    20   0  271232    864    300 S   0.0  0.0   0:01.07 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 3094 andrew    20   0  341868  15652   4560 S   0.0  0.1   0:19.67 /usr/lib/gnome-settings-daemon/gsd-clipboard
 3097 andrew    20   0  357680   3724   2824 S   0.0  0.0   1:52.86 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 3100 andrew    20   0  462824   1976    100 S   0.0  0.0   0:01.18 /usr/lib/gnome-settings-daemon/gsd-datetime
 3104 andrew    20   0  937104  17984   6152 S   0.0  0.1   0:23.77 /usr/lib/gnome-settings-daemon/gsd-media-keys
 3108 andrew    20   0  504684  17692   6088 S   0.0  0.1   0:20.75 /usr/lib/gnome-settings-daemon/gsd-keyboard
 3114 andrew    20   0  271240    816    260 S   0.0  0.0   0:01.19 /usr/lib/gnome-settings-daemon/gsd-mouse
 3146 andrew    20   0 1369312  53588  30356 S   0.0  0.3   0:29.44 nautilus-desktop
 3150 andrew    20   0  271936   1840    160 S   0.0  0.0   0:01.00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 3174 andrew    20   0  361372   3376   1876 S   0.0  0.0   0:28.84 /usr/lib/gvfs/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
 3182 andrew    20   0  885708  42436   1956 S   0.0  0.3   0:00.29 /usr/lib/evolution/evolution-calendar-factory
 3187 andrew    20   0  387792   7664    352 S   0.0  0.0   0:00.02 /usr/share/teams/teams --type=zygote --no-zygote-sandbox
 3188 andrew    20   0  387792  10616   3288 S   0.0  0.1   0:02.68 /usr/share/teams/teams --type=zygote
 3194 andrew    20   0  501672   2092    360 S   0.0  0.0   0:00.05 /usr/lib/gnome-settings-daemon/gsd-printer
 3211 andrew    20   0  197916   2176   1384 S   0.0  0.0   2:40.35 /usr/lib/ibus/ibus-engine-simple
 3226 andrew    20   0 1129620  42516   2652 S   0.0  0.3   0:04.03 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Ca+
 3240 andrew    20   0  725792   3912    508 S   0.0  0.0   0:00.05 /usr/lib/evolution/evolution-addressbook-factory
 3253 andrew    20   0 1010308   5648   1868 S   0.0  0.0   0:03.62 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend+
 3289 andrew    20   0 1225308  42032  12384 S   0.0  0.3 734:02.64 /usr/share/teams/teams --type=gpu-process --field-trial-handle=12992011693680117189,12039368134618553535,131072 --enable-features=WebC+
 3296 andrew    20   0 1595304  35712  21300 S   0.0  0.2  48:26.79 /usr/share/teams/teams --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=12992011693680117189,120393+
 3329 andrew    20   0 5722736  25348   7872 S   0.0  0.2   0:11.49 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3345 andrew    20   0  392476   7724    144 S   0.0  0.0   0:00.00 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3369 andrew    20   0 1190092   8536    476 S   0.0  0.1   0:24.28 /usr/share/teams/teams --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=12992011693680117189,1203936813+
 3378 andrew    20   0  197716   2228   1272 S   0.0  0.0   0:00.26 /usr/lib/gvfs/gvfsd-metadata
 3492 andrew    20   0 5769532 123396  38180 S   0.0  0.8   1:37.66 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3494 andrew    20   0  392476   7724    144 S   0.0  0.0   0:00.00 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3547 andrew    20   0 8701672  72332  32652 S   0.0  0.4  81:24.89 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3582 andrew    20   0    7612    784    720 S   0.0  0.0   0:00.00 cat
 3583 andrew    20   0    7612    784    720 S   0.0  0.0   0:00.00 cat
 3585 andrew    20   0 16.032g   3284   3056 S   0.0  0.0   0:00.00 /opt/google/chrome/crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/andrew/.config/go+
 3587 andrew    20   0 16.023g   1520   1376 S   0.0  0.0   0:00.00 /opt/google/chrome/crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/andrew/.conf+
 3594 andrew    20   0 16.388g  53976  44028 S   0.0  0.3   0:00.01 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1b+
 3595 andrew    20   0 16.388g  54432  44476 S   0.0  0.3   0:00.01 /opt/google/chrome/chrome --type=zygote --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c98-+
 3596 andrew    20   0 16.029g   3792   3460 S   0.0  0.0   0:00.00 /opt/google/chrome/nacl_helper
 3599 andrew    20   0 16.388g  16072   6100 S   0.0  0.1   0:01.48 /opt/google/chrome/chrome --type=zygote --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c98-+
 3622 andrew    20   0 16.581g 134636  83136 S   0.0  0.8  10:59.09 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=9356682892816427284,1365216333309670878,131072 --enable-crashpad --c+
 3624 andrew    20   0 16.477g 114888  87088 S   0.0  0.7   8:37.51 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=9356682892816427284,1365+
 3626 andrew    20   0 16.435g  52872  39008 S   0.0  0.3   0:06.35 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=9356682892816427284,1365+
 3712 andrew    20   0 20.527g  97412  78300 S   0.0  0.6   0:02.65 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 3773 andrew    20   0 20.527g 117888  84396 S   0.0  0.7   0:51.83 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 3781 andrew    20   0 20.528g 209224  88484 S   0.0  1.3   1:21.91 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 3784 andrew    20   0  426520   4452   2788 S   0.0  0.0   0:02.58 /usr/bin/zeitgeist-daemon
 3791 andrew    20   0  326740   4564   1916 S   0.0  0.0   0:01.10 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
 3813 andrew    20   0 20.529g 104624  79912 S   0.0  0.6   0:17.60 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 3826 andrew    20   0 20.511g  96044  76624 S   0.0  0.6   0:01.47 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 3951 root      20   0  613552  72064  21112 S   0.0  0.4   0:00.97 /usr/lib/fwupd/fwupd
 4170 andrew    20   0 1401044 540328  24932 S   0.0  3.3   2:07.60 /usr/bin/gnome-software --gapplication-service
 4173 andrew    20   0  647228  31552  17600 S   0.0  0.2   1:06.07 update-notifier
 4516 andrew    20   0  797400   8428   2248 S   0.0  0.1   0:03.36 /usr/lib/deja-dup/deja-dup-monitor
 4757 andrew    20   0 20.585g 215900 103708 S   0.0  1.3   3:48.34 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 5051 andrew    20   0   12888   3248   2984 S   0.0  0.0   0:00.01 /bin/bash /usr/bin/mysql-workbench
 5097 andrew    20   0   12024   1068    948 S   0.0  0.0   0:00.00 /bin/sh /usr/bin/catchsegv /usr/bin/mysql-workbench-bin
 5099 andrew    20   0 1300664 146844  83972 S   0.0  0.9   0:20.46 /usr/bin/mysql-workbench-bin
 5124 root      20   0       0      0      0 I   0.0  0.0   0:00.25 [kworker/2:0-eve]
 5209 root      20   0       0      0      0 I   0.0  0.0   0:00.03 [kworker/1:0-mm_]
 5579 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop24]
 5599 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop8]
 6081 andrew    20   0   52300   6144   5440 S   0.0  0.0   0:00.03 ssh jaalbrec@squirrel.dlib.indiana.edu
 6821 root      20   0       0      0      0 I   0.0  0.0   0:00.11 [kworker/u16:0-e]
 7018 root      20   0       0      0      0 I   0.0  0.0   0:00.59 [kworker/5:0-eve]
 8354 andrew    30  10  921156 172228 102788 S   0.0  1.1   0:05.25 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
 8628 root      20   0       0      0      0 I   0.0  0.0   0:00.45 [kworker/0:1-rcu]
 8727 andrew    20   0   11312    904    584 S   0.0  0.0   0:00.12 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
 9096 root      20   0  101212   8028   6848 S   0.0  0.0   0:00.02 /usr/sbin/cupsd -l
 9253 andrew    20   0 16.421g  42248  31744 S   0.0  0.3   0:00.02 /opt/google/chrome/chrome --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --field-trial-handle=935668289281642+
 9321 root      20   0       0      0      0 I   0.0  0.0   0:00.02 [kworker/4:1-eve]
 9395 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop32]
10799 root      20   0       0      0      0 I   0.0  0.0   0:00.99 [kworker/6:1-eve]
11019 andrew    20   0  720732   4744   3156 S   0.0  0.0   0:06.25 /usr/libexec/xdg-desktop-portal
11028 andrew    20   0  488288   1084    444 S   0.0  0.0   0:01.06 /usr/libexec/xdg-document-portal
11048 andrew    20   0  560680  16040   4748 S   0.0  0.1   0:20.43 /usr/libexec/xdg-desktop-portal-gtk
11072 root      20   0       0      0      0 I   0.0  0.0   0:00.13 [kworker/2:2-eve]
11190 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/1:2-eve]
11192 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/4:0-eve]
11399 andrew    20   0   22848   5340   3484 S   0.0  0.0   0:00.21 bash
11850 root       0 -20       0      0      0 I   0.0  0.0   3:11.49 [kworker/4:2H-kb]
12206 root      20   0  103052   7616   6120 S   0.0  0.0   0:01.74 /usr/local/pulse/pulsesvc
12447 andrew    20   0 20.543g 150364  96860 S   0.0  0.9   0:05.29 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
12565 root      20   0       0      0      0 I   0.0  0.0   0:00.16 [kworker/3:2-eve]
12602 root      20   0       0      0      0 I   0.0  0.0   0:01.75 [kworker/1:1-eve]
12826 andrew    20   0 20.535g 127616  89312 S   0.0  0.8   0:02.41 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
13140 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/6:2H-kb]
13176 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/7:2H-kb]
14025 andrew    20   0  274004  17696   6164 S   0.0  0.1   0:00.16 spring server | rmd | started 33 mins ago
14028 andrew    20   0  551872  80044  16456 S   0.0  0.5   0:07.57 spring app    | rmd | started 33 mins ago | development mode
14043 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/5:2-eve]
15030 uuidd     20   0   28144      8      0 S   0.0  0.0   0:00.18 /usr/sbin/uuidd --socket-activation
15390 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop35]
15420 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/7:0]
15525 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop38]
15946 andrew    20   0 20.555g 142036  97572 S   0.0  0.9   0:03.09 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
16048 andrew    20   0  363468   3232   1900 S   0.0  0.0   0:00.12 /usr/lib/gvfs/gvfsd-network --spawner :1.22 /org/gtk/gvfs/exec_spaw/1
16056 andrew    20   0 20.488g  59868  44852 S   0.0  0.4   0:00.04 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
16179 andrew    20   0  374188   1024    108 S   0.0  0.0   0:00.81 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.22 /org/gtk/gvfs/exec_spaw/5
16209 andrew    20   0    4632   1732   1632 S   0.0  0.0   0:00.05 /bin/sh /snap/rubymine/261/bin/rubymine.sh
16258 andrew    20   0 9712332 2.538g 472676 S   0.0 16.4  24:24.71 /snap/rubymine/261/jbr/bin/java -classpath /snap/rubymine/261/lib/util.jar:/snap/rubymine/261/lib/bootstrap.jar -Xms128m -Xmx750m -XX:+
16324 andrew    20   0   11704   5044   1524 S   0.0  0.0   0:06.39 /snap/rubymine/261/bin/fsnotifier
16546 root      20   0       0      0      0 I   0.0  0.0   0:00.05 [kworker/0:2-eve]
17876 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop7]
18014 root      20   0       0      0      0 I   0.0  0.0   0:01.01 [kworker/3:0-eve]
18455 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/7:2-mm_]
18461 andrew    20   0 20.562g 143020  99380 S   0.0  0.9   0:08.62 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
18474 root      20   0       0      0      0 I   0.0  0.0   0:05.23 [kworker/6:0-eve]
19486 root      20   0       0      0      0 I   0.0  0.0   0:01.93 [kworker/0:0-rcu]
19734 andrew    20   0 20.535g 149292  98520 S   0.0  0.9   0:11.00 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
20705 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [xfsalloc]
20706 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [xfs_mru_cache]
20718 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsIO]
20719 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20720 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20721 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20722 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20723 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20724 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20725 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20726 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsCommit]
20727 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [jfsSync]
20806 root      20   0       0      0      0 I   0.0  0.0   0:01.80 [kworker/u16:1-e]
20953 root       0 -20       0      0      0 S   0.0  0.0   0:00.31 [loop21]
23203 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop20]
23396 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop4]
25518 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/3:1-mm_]
25540 root      20   0 1429204  86516  47840 S   0.0  0.5   4:43.31 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
26387 root      20   0       0      0      0 I   0.0  0.0   0:27.94 [kworker/5:1-eve]
27001 andrew    20   0   22960   5424   3564 S   0.0  0.0   0:00.15 bash
28482 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/2:1-eve]
29252 gdm       20   0  187776    992    476 S   0.0  0.0   0:00.00 /usr/lib/dconf/dconf-service
29612 root      20   0       0      0      0 I   0.0  0.0   0:01.34 [kworker/7:1-eve]
30337 root      20   0       0      0      0 I   0.0  0.0   0:00.37 [kworker/4:2-eve]
30349 root      20   0       0      0      0 I   0.0  0.0   0:01.42 [kworker/u16:2-i]
30352 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop0]
30557 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop17]
30635 andrew    20   0 20.570g 189692 100672 S   0.0  1.2   0:09.04 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
31542 root      20   0       0      0      0 I   0.0  0.0   0:04.47 [kworker/u16:13-]
31594 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [irq/128-mei_me]
31887 root      20   0   25988   6260   4976 S   0.0  0.0   0:00.01 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-wlp2s0.pid -lf /var/lib/NetworkManager/dhclient-e3a5+
32198 root      20   0   25988   6460   5160 S   0.0  0.0   0:00.00 /sbin/dhclient -d -q -6 -N -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient6-wlp2s0.pid -lf /var/lib/NetworkManager/dhclie+
32395 root      20   0       0      0      0 I   0.0  0.0   0:00.00 [kworker/6:2-eve]

top - 09:54:58 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.2 us,  4.1 sy,  0.0 ni, 92.0 id,  0.0 wa,  0.0 hi,  0.7 si,  0.0 st
KiB Mem : 16251892 total,   571900 free,  6462584 used,  9217408 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8978120 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3401 andrew    20   0  616020  44276  15364 S  10.6  0.3  72:11.85 /usr/bin/python3 /usr/bin/touchpad-indicator
 2760 andrew    20   0 1050792  86332  57576 S   7.9  0.5 161:07.62 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 3344 andrew    20   0 13.670g 315956  55036 S   3.3  1.9 909:34.23 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3289 andrew    20   0 1225308  42032  12384 S   3.0  0.3 734:02.73 /usr/share/teams/teams --type=gpu-process --field-trial-handle=12992011693680117189,12039368134618553535,131072 --enable-features=WebC+
12027 andrew    20   0 20.733g 505444 109724 S   3.0  3.1  32:18.39 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 2916 andrew    20   0 4313528 439568 105128 S   1.3  2.7 185:35.21 /usr/bin/gnome-shell
 3575 andrew    20   0 16.790g 340368 178056 S   1.0  2.1  21:59.67 /opt/google/chrome/chrome --enable-crashpad
18320 andrew    20   0   44372   4304   3480 R   1.0  0.0   0:00.09 top -b -c
 3093 andrew    20   0  670812  26252   6088 S   0.7  0.2  38:20.92 /usr/lib/gnome-settings-daemon/gsd-color
 5099 andrew    20   0 1300664 146844  83972 S   0.7  0.9   0:20.48 /usr/bin/mysql-workbench-bin
16258 andrew    20   0 9712332 2.538g 472676 S   0.7 16.4  24:24.73 /snap/rubymine/261/jbr/bin/java -classpath /snap/rubymine/261/lib/util.jar:/snap/rubymine/261/lib/bootstrap.jar -Xms128m -Xmx750m -XX:+
29612 root      20   0       0      0      0 I   0.7  0.0   0:01.36 [kworker/7:1-kec]
   11 root      20   0       0      0      0 I   0.3  0.0  41:19.83 [rcu_sched]
  260 root      20   0       0      0      0 S   0.3  0.0  15:46.46 [jbd2/sda5-8]
  917 root      20   0 2128912  21860  10496 S   0.3  0.1   5:08.34 /usr/lib/snapd/snapd
 1412 mysql     20   0 2838356 312888  17924 S   0.3  1.9 113:05.70 /usr/sbin/mysqld
 1431 redis     20   0   51448    272    136 S   0.3  0.0  49:42.69 /usr/bin/redis-server 127.0.0.1:6379
 1865 gdm       20   0 1034404  13836   5376 S   0.3  0.1  34:17.08 /usr/lib/gnome-settings-daemon/gsd-color
 2778 andrew    20   0   51504   4440   2484 S   0.3  0.0   0:25.99 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 2786 andrew    20   0  560848   4264   2592 S   0.3  0.0   0:15.37 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 3067 andrew    20   0  492516  17064   5056 S   0.3  0.1   0:24.44 /usr/lib/gnome-settings-daemon/gsd-xsettings
 3108 andrew    20   0  504684  17692   6088 S   0.3  0.1   0:20.76 /usr/lib/gnome-settings-daemon/gsd-keyboard
 3166 andrew    20   0 7518976 166932  53868 S   0.3  1.0  80:34.87 /usr/share/teams/teams --disable-namespace-sandbox --disable-setuid-sandbox
 3296 andrew    20   0 1595304  35712  21300 S   0.3  0.2  48:26.80 /usr/share/teams/teams --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=12992011693680117189,120393+
 3773 andrew    20   0 20.527g 117888  84396 S   0.3  0.7   0:51.84 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3585 --enable-crash-reporter=bd1bb0aa-8fb8-4303-9c9+
 8354 andrew    30  10  921156 172228 102788 S   0.3  1.1   0:05.26 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
10799 root      20   0       0      0      0 I   0.3  0.0   0:01.00 [kworker/6:1-eve]
31542 root      20   0       0      0      0 I   0.3  0.0   0:04.48 [kworker/u16:13-]
    1 root      20   0  226148   7188   4428 S   0.0  0.0   5:24.46 /sbin/init splash
    2 root      20   0       0      0      0 S   0.0  0.0   0:02.39 [kthreadd]
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [rcu_gp]
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [rcu_par_gp]
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/0:0H-kb]
    9 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [mm_percpu_wq]
   10 root      20   0       0      0      0 S   0.0  0.0   0:24.45 [ksoftirqd/0]
   12 root      rt   0       0      0      0 S   0.0  0.0   0:07.81 [migration/0]
   13 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/0]
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [cpuhp/0]
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.01 [cpuhp/1]
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/1]
   17 root      rt   0       0      0      0 S   0.0  0.0   0:07.50 [migration/1]
   18 root      20   0       0      0      0 S   0.0  0.0   0:11.71 [ksoftirqd/1]
   20 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/1:0H-kb]
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.01 [cpuhp/2]
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/2]
   23 root      rt   0       0      0      0 S   0.0  0.0   0:08.00 [migration/2]
   24 root      20   0       0      0      0 S   0.0  0.0   0:06.29 [ksoftirqd/2]
   26 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/2:0H-kb]
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.01 [cpuhp/3]
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/3]
   29 root      rt   0       0      0      0 S   0.0  0.0   0:07.92 [migration/3]
   30 root      20   0       0      0      0 S   0.0  0.0   0:04.22 [ksoftirqd/3]
   32 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/3:0H-kb]
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.01 [cpuhp/4]
   34 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/4]
   35 root      rt   0       0      0      0 S   0.0  0.0   0:07.32 [migration/4]
   36 root      20   0       0      0      0 S   0.0  0.0   0:10.30 [ksoftirqd/4]
   38 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/4:0H-kb]
   39 root      20   0       0      0      0 S   0.0  0.0   0:00.01 [cpuhp/5]
   40 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/5]
   41 root      rt   0       0      0      0 S   0.0  0.0   0:07.58 [migration/5]
   42 root      20   0       0      0      0 S   0.0  0.0   0:45.72 [ksoftirqd/5]
   44 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/5:0H-kb]
   45 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [cpuhp/6]
   46 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/6]
   47 root      rt   0       0      0      0 S   0.0  0.0   0:07.63 [migration/6]
   48 root      20   0       0      0      0 S   0.0  0.0   0:05.47 [ksoftirqd/6]
   51 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [cpuhp/7]
   52 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [idle_inject/7]
   53 root      rt   0       0      0      0 S   0.0  0.0   0:07.97 [migration/7]
   54 root      20   0       0      0      0 S   0.0  0.0   0:03.06 [ksoftirqd/7]
   57 root      20   0       0      0      0 S   0.0  0.0   0:00.01 [kdevtmpfs]
   58 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [netns]
   59 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [rcu_tasks_kthre]
   60 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [kauditd]
   61 root      20   0       0      0      0 S   0.0  0.0   0:04.21 [khungtaskd]
   62 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [oom_reaper]
   63 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [writeback]
   64 root      20   0       0      0      0 S   0.0  0.0   0:00.00 [kcompactd0]
   65 root      25   5       0      0      0 S   0.0  0.0   0:00.00 [ksmd]
   66 root      39  19       0      0      0 S   0.0  0.0   0:08.71 [khugepaged]
  113 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kintegrityd]
  114 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kblockd]
  115 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [blkcg_punt_bio]
  117 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [tpm_dev_wq]
